MONTH,DAY_OF_MONTH,DAY_OF_WEEK,DEST,CRS_ELAPSED_TIME,DISTANCE,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,DEP_DELAY
11,1,5,10,-0.8488553879402135,-0.7115150044683086,0.7614352674710524,0.18448484821748515,-0.038486443738301304,15,2.0693275438779652,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,28,1.217333639296691,1.3547741982392012,0.7614352674710524,0.18448484821748515,-0.038486443738301304,15,2.0693275438779652,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,20,-0.3720425355009279,-0.2249988409161869,0.7614352674710524,0.18448484821748515,-0.038486443738301304,15,2.0693275438779652,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,1
11,1,5,30,-0.48078932640813343,-0.36544807981691485,0.7614352674710524,0.18448484821748515,-0.038486443738301304,15,2.0693275438779652,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,1,-0.7233783215088226,-0.5721893594787865,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,36,-0.5393452907427826,-0.5946612377029029,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,28,1.2340639148208763,1.3547741982392012,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,0
11,1,5,7,-1.2169214494722937,-1.0879189647222596,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,29,1.1922382260104127,1.343538259127143,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,20,-0.34694712221464974,-0.2249988409161869,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,27,0.9831097819580945,1.0997183803954793,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,15,-1.0914443830409029,-1.186795228908372,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,42,0.9245538176234454,0.9929769588309261,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,56,1.3595409812522674,1.4794931223830476,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,58,-0.029071887255125963,0.36938233811169385,0.49466904260174577,0.0023993111407520805,-0.038486443738301304,15,1.9074309893415826,2.5633718304457562,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950403,1
11,1,5,56,1.3846363945385456,1.4794931223830476,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,59,0.7990767511920543,0.8098311513043768,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,4,-1.2001911739481084,-1.2160086705997235,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,56,1.3428107057280818,1.4794931223830476,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,54,-0.6899177704604517,-0.619380303749431,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,63,-1.275477413806943,-1.1912896045531953,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,1,-0.5979012550774316,-0.5721893594787865,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,32,-0.32185170892837156,-0.26994259736441983,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
11,1,5,28,1.2842547413934329,1.3547741982392012,0.6280521550363991,0.0934420796791186,0.003901995637356006,15,1.9074309893415826,2.0467067367911036,-0.24364675579581452,3,-1.4856009013394829,-0.9058215058950403,0
