MONTH,DAY_OF_MONTH,DAY_OF_WEEK,DEST,CRS_ELAPSED_TIME,DISTANCE,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,DEP_DELAY,Delayed
11,1,5,10,-0.8488553879402135,-0.7115150044683086,0.7614352674710524,0.1844848482174851,-0.0384864437383013,15,2.069327543877965,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,-1,0
11,1,5,28,1.217333639296691,1.3547741982392012,0.7614352674710524,0.1844848482174851,-0.0384864437383013,15,2.069327543877965,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,-7,0
11,1,5,20,-0.3720425355009279,-0.2249988409161869,0.7614352674710524,0.1844848482174851,-0.0384864437383013,15,2.069327543877965,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,40,1
11,1,5,30,-0.4807893264081334,-0.3654480798169148,0.7614352674710524,0.1844848482174851,-0.0384864437383013,15,2.069327543877965,2.8217043772730825,-0.7279854720281833,3,-2.3304795511920857,-1.3908010932557566,-2,0
11,1,5,1,-0.7233783215088226,-0.5721893594787865,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,-4,0
11,1,5,36,-0.5393452907427826,-0.5946612377029029,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,-1,0
11,1,5,28,1.2340639148208763,1.3547741982392012,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-2.3304795511920857,-1.3908010932557566,-1,0
11,1,5,7,-1.2169214494722935,-1.0879189647222596,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,-5,0
11,1,5,29,1.1922382260104127,1.343538259127143,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,0,0
11,1,5,20,-0.3469471222146497,-0.2249988409161869,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,3,0
11,1,5,27,0.9831097819580944,1.099718380395479,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,-5,0
11,1,5,15,-1.0914443830409029,-1.186795228908372,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,-5,0
11,1,5,42,0.9245538176234454,0.992976958830926,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,-4,0
11,1,5,56,1.3595409812522674,1.4794931223830476,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,-3,0
11,1,5,58,-0.0290718872551259,0.3693823381116938,0.4946690426017457,0.002399311140752,-0.0384864437383013,15,1.9074309893415824,2.563371830445756,-0.5550073590880498,3,-1.4856009013394829,-0.9058215058950404,108,1
11,1,5,56,1.3846363945385456,1.4794931223830476,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-6,0
11,1,5,59,0.7990767511920543,0.8098311513043768,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-5,0
11,1,5,4,-1.2001911739481084,-1.2160086705997235,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-5,0
11,1,5,56,1.3428107057280818,1.4794931223830476,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-3,0
11,1,5,54,-0.6899177704604517,-0.619380303749431,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-2,0
11,1,5,63,-1.275477413806943,-1.191289604553195,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-3,0
11,1,5,1,-0.5979012550774316,-0.5721893594787865,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,0,0
11,1,5,32,-0.3218517089283715,-0.2699425973644198,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-2,0
11,1,5,28,1.2842547413934329,1.3547741982392012,0.6280521550363991,0.0934420796791186,0.003901995637356,15,1.9074309893415824,2.046706736791104,-0.2436467557958145,3,-1.4856009013394829,-0.9058215058950404,-7,0
